id,name,date,venue,location,attendance
1,UFC 1: The Beginning,1993-11-12,McNichols Sports Arena,"Denver, Colorado, U.S.",7800.0
2,UFC 2: No Way Out,1994-03-11,Mammoth Gardens,"Denver, Colorado, U.S.",2000.0
3,UFC 3: The American Dream,1994-09-09,Grady Cole Center,"Charlotte, North Carolina, U.S.",3000.0
4,UFC 4: Revenge of the Warriors,1994-12-16,Expo Square Pavilion,"Tulsa, Oklahoma, U.S.",5857.0
5,UFC 5: The Return of the Beast,1995-04-07,Bojangles Coliseum,"Charlotte, North Carolina, U.S.",6000.0
6,UFC 6: Clash of the Titans,1995-07-14,Casper Events Center,"Casper, Wyoming, U.S.",2700.0
7,UFC 7: The Brawl in Buffalo,1995-09-08,Buffalo Memorial Auditorium,"Buffalo, New York, U.S.",9000.0
8,UFC: The Ultimate Ultimate,1995-12-16,Mammoth Gardens,"Denver, Colorado, U.S.",2800.0
9,UFC 8: David vs. Goliath,1996-02-16,Coliseo Rubén Rodríguez,"Bayamón, Puerto Rico",13000.0
10,UFC 9: Motor City Madness,1996-05-17,Cobo Arena,"Detroit, Michigan, U.S.",10000.0
11,UFC 10: The Tournament,1996-07-12,Fair Park Arena,"Birmingham, Alabama, U.S.",4300.0
12,UFC 11: The Proving Ground,1996-09-20,Augusta Civic Center,"Augusta, Georgia, U.S.",4500.0
13,UFC: The Ultimate Ultimate 2,1996-12-07,Fair Park Arena,"Birmingham, Alabama, U.S.",6000.0
14,UFC 12: Judgement Day,1997-02-07,Dothan Civic Center,"Dothan, Alabama, U.S.",3100.0
15,UFC 13: The Ultimate Force,1997-05-30,Augusta Civic Center,"Augusta, Georgia, U.S.",5100.0
16,UFC 14: Showdown,1997-07-27,Boutwell Memorial Auditorium,"Birmingham, Alabama, U.S.",5000.0
17,UFC 15: Collision Course,1997-10-17,Casino Magic Bay St. Louis,"Bay St. Louis, Mississippi, U.S.",
18,UFC Japan: Ultimate Japan,1997-12-21,Yokohama Arena,"Yokohama, Japan",5000.0
19,UFC 16: Battle in the Bayou,1998-03-13,Pontchartrain Center,"New Orleans, Louisiana, U.S.",4600.0
20,UFC 17: Redemption,1998-05-15,Mobile Civic Center,"Mobile, Alabama, U.S.",
21,UFC Brazil: Ultimate Brazil,1998-10-16,Ginásio da Portuguesa,"São Paulo, Brazil",
